

| 序号 | 单词 | 词性 | 释义 |
| 2298 | destroy | v. | 破坏；消灭；打破 |
| 2299 | heating | n. | 加热，供暖 |
| 2300 | comprise | vt. | 包含， 包括， 构成 |
| 2301 | wholly | adv. | 完全地， 全部地 |
| 2302 | split | v. | 分裂，分离；被撕裂，裂开；分担，分享 n. 裂口 |
| 2303 | basin | n. | 洗脸盆；盆；盆地 |
| 2304 | weed | n. | 杂草，野草 v. 除草 |
| 2305 | calm | adj. | 静的，平静的 v. 平静， 镇静 |
| 2306 | sweater | n. | 厚运动衫，毛线衫 |
| 2307 | shear | v. | 剪；剥夺 |
| 2308 | greet | v. | 问候，招呼；反应 |
| 2309 | practical | adj. | 实践的；实用的 |
| 2310 | basically | adv. | 基本上， 从根本上说 |
| 2311 | conductor | n. | 售票员， 列车长； 指挥； 导体 |
| 2312 | naturally | adv. | 当然； 天然地； 天生地 |
| 2313 | despair | n. | 绝望 v. 绝望，感到无望 |
| 2314 | nose | n. | 鼻子 |
| 2315 | morning | n. | 早晨，上午 |
| 2316 | mild | adj. | 温柔的； 温暖的； 轻微的 |
| 2317 | interrupt | v. | 打断， 打扰， 中断 |
| 2318 | period | n. | 时期；学时；句号 |
| 2319 | loaf | vi. | 游荡， 闲逛 n. 面包 |
| 2320 | enforce | vt. | 实施， 执行； 强制， 强迫， 迫使 |
| 2321 | definitely | adv. | 一定地， 明确地 |
| 2322 | grow | v. | 增长；生长 |
| 2323 | federal | adj. | 联邦的， 联盟的 |
| 2324 | lively | adj. | 活泼的 |
| 2325 | interval | n. | 间隔， 间距； 幕间休息 |
| 2326 | motor | n. | 发动机， 电动车 |
| 2327 | brute | n. | 禽兽，畜生 |
| 2328 | account | vi. | 说明原因； 占 n. 记述；解释；账目 |
| 2329 | gramme | n. | gram的英式拼法 |
| 2330 | absence | n. | 缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在 |
| 2331 | beef | n. | 牛肉；菜牛 |
| 2332 | heap | n. | （一）堆；大量 |
| 2333 | deposit | vt. | 使沉淀；存放，储蓄 n. 定金， 押金； 存款； 矿藏 |
| 2334 | displease | v. | 使不愉快，使生气 |
| 2335 | bound | vi. | 跳跃；弹回，反跃 adj. 一定的；有义务的 vt. 跳跃；弹回，反跃；成为…的界限，给…划界 n. 跳跃； 界限， 限制 |
| 2336 | merely | adv. | 仅仅， 只不过 |
| 2337 | besides | adv. | 而且 prep. 除…之外 |
| 2338 | park | n. | 公园；停车场 |
| 2339 | nineteen | num. | 十九，十九个 |
| 2340 | depress | vt. | 使沮丧； 使不景气； 削弱， 抑制 |
| 2341 | cry | v. | 哭，哭泣；叫喊 |
| 2342 | into | prep. | 进，入；进入到 |
| 2343 | maths | n. | （英）数学 |
| 2344 | significance | n. | 意义， 含义； 重要性， 重大 |
| 2345 | bag | n. | 袋，包，钱包，背包 |
| 2346 | crack | vi. | 爆裂； 噼啪地响； 打， 击 n. 裂缝，裂纹；破裂声 |
| 2347 | certainty | n. | 必然；肯定 |
| 2348 | lazy | adj. | 懒惰的，懒散的 |
| 2349 | hurt | v. | 使受伤；使痛心 |
| 2350 | hillside | n. | （小山）山腰，山坡 |
| 2351 | specialist | n. | 专家 |
| 2352 | worm | n. | 虫， 蠕虫 |
| 2353 | dictionary | n. | 词典，字典 |
| 2354 | cabbage | n. | 洋白菜， 卷心菜 |
| 2355 | date | n. | 日期 v. 注…日期 |
| 2356 | warmth | n. | 暖和， 温暖； 热烈， 热情， 热心 |
| 2357 | latter | adj. | 后者的； 后一半的 |
| 2358 | indoors | adv. | 在室内，在屋里 |
| 2359 | helicopter | n. | 直升机 |
| 2360 | leg | n. | 腿，腿部 |
| 2361 | command | vt. | 命令， 指挥， 控制 |
| 2362 | actually | adv. | 实际上；竟然 |
| 2363 | secondary | adj. | 次要的， 第二的； 中等的； 辅助的， 从属的 |
| 2364 | academy | n. | 研究会， 学会； 专门学校 |
| 2365 | report | v. | 报告；汇报 |
| 2366 | magnet | n. | 磁铁， 磁体； 有吸引力的人或事物 |
| 2367 | none | pron. | 没有人；没有一点 adv. 毫不 |
| 2368 | large | adj. | 大的；巨大的 |
| 2369 | corporation | n. | 公司， 企业， 社团 |
| 2370 | thorough | adj. | 彻底的， 详尽的 |
| 2371 | chin | n. | 颏， 下巴 |
| 2372 | nearby | adj. | 附近的 adv. 在附近 |
| 2373 | map | n. | 地图；图；天体图 |
| 2374 | vinegar | n. | 醋 |
| 2375 | article | n. | 文章；物品；条款 |
| 2376 | angle | n. | 角， 角度； 观点， 立场 |
| 2377 | zone | n. | 地区， 区域， 范围 |
| 2378 | rail | vi. | 责骂， 抱怨 n. 栏杆，横杆；铁轨，轨道；铁路 |
| 2379 | holy | adj. | 神圣的， 圣洁的， 虔诚的 |
| 2380 | copy | n. | 抄件 v. 抄写，复制 |
| 2381 | elephant | n. | 象 |
| 2382 | hasten | v. | 催促；赶紧 |
| 2383 | helpless | adj. | 无助的； 无能的； 无法抗拒的 |
| 2384 | mutter | v. | 轻声低语；抱怨 |
| 2385 | musical | adj. | 音乐的 |
| 2386 | silk | n. | 蚕丝，丝，丝织品 |
| 2387 | anything | pron. | 任何事物；一切 |
| 2388 | outskirt | n. | 外边，郊区 |
| 2389 | peculiar | adj. | 奇怪的， 古怪的； 特有的 |
| 2390 | index | n. | 索引； 指数， 指标 |
| 2391 | anxious | adj. | 忧虑的， 令人焦急的； 渴望的 |
| 2392 | likely | adv. | 可能 adj. 可能的；适合的 |
| 2393 | mat | n. | 席子；草席；垫子 |
| 2394 | cushion | n. | 垫子， 坐垫， 靠垫 |
| 2395 | flock | n. | 羊群， 群； 大量 |
| 2396 | vague | adj. | 模糊的， 含糊的 |
| 2397 | generator | n. | 发电机； 发生器 |
| 2398 | scatter | v. | 撒， 散播； 散开， 驱散 |
| 2399 | brake | v. | 制动； 刹住， 用闸使放慢速度 n. 闸，刹车 |
| 2400 | brain | n. | 脑，脑髓；脑力 |
| 2401 | commander | n. | 司令官， 指挥员 |
| 2402 | limb | n. | 肢， 臂， 腿； 树枝 |
| 2403 | highway | n. | 公路， 大路 |
| 2404 | quite | adv. | 完全；相当；的确 |
| 2405 | disposal | n. | 丢掉， 销毁； 处理； 排列， 布置 |
| 2406 | analyse | vt. | 分析； 分解； 解析 |
| 2407 | flight | n. | 航班；飞行；逃跑 |
| 2408 | repetition | n. | 重复， 反复 |
| 2409 | inform | vi. | 告发， 告密 vt. 通知；报告 |
| 2410 | flat | adv. | 平直地； 直截了当地 adj. 平的；固定的；漏气的；平淡的；沉闷的；浅的 n. 一套房间，单元住宅 |
| 2411 | idea | n. | 想法；思想；意见 |
| 2412 | blue | adj. | 蓝色的 n. 蓝色 |
| 2413 | married | adj. | 已婚的； 婚姻的 |
| 2414 | kitchen | n. | 厨房，灶间 |
| 2415 | bridge | n. | 桥，桥梁；桥牌 |
| 2416 | anyone | pron. | 任何人 |
| 2417 | envelope | n. | 信封；封套；封皮 |
| 2418 | glare | v. | 瞪眼 n. 瞪眼 |
| 2419 | fault | n. | 缺点；过失；故障 |
| 2420 | calculation | n. | 计算，计算结果 |
| 2421 | driver | n. | 驾驶员，司机 |
| 2422 | airport | n. | 机场， 航空港 |
| 2423 | intermediate | adj. | 中间的； 中级的 |
| 2424 | location | n. | 位置， 场所； 外景拍摄地 |
| 2425 | unlike | adj. | 不同的 prep. 不象… |
| 2426 | fresh | adj. | 新的；新鲜的 |
| 2427 | chance | n. | 机会，机遇；可能性 |
| 2428 | cement | n. | 水泥，胶泥 vt. 黏结； 巩固， 使团结 |
| 2429 | extra | adv. | 特别地 adj. 额外的；特别的 n. 额外的事物， 额外费用 |
| 2430 | drill | v. | 钻， 打； 训练 n. 钻头；操练，训练 |
| 2431 | accessary | n. | 同谋，从犯 |
| 2432 | dwelling | n. | 住处，寓所 |
| 2433 | hardly | adv. | 几乎不，简直不 |
| 2434 | dance | v. | 跳舞；摇晃 n. 舞 |
| 2435 | atomic | adj. | 原子的， 原子能的， 原子武器的 |
| 2436 | omit | v. | 省略，省去；遗漏 |
| 2437 | neck | n. | 颈，脖子 |
| 2438 | lady | n. | 女士，夫人；贵妇人 |
| 2439 | announcer | n. | 播音员 |
| 2440 | engineering | n. | 工程， 工程学 |
| 2441 | formula | n. | 公式， 方程式； 原则， 方案； 配方 |
| 2442 | law | n. | 法律；法令；法则 |
| 2443 | lieutenant | n. | 陆军中尉；副职官员 |
| 2444 | dependent | adj. | 依靠的， 依赖的； 取决于…的 |
| 2445 | utmost | adj. | 最大的 n. 极限 |
| 2446 | begin | v. | 开始 |
| 2447 | cooperate | vi. | 合作， 协作； 配合 |
| 2448 | rush | v. | 冲，奔；催促 |
| 2449 | grieve | v. | 悲痛；使悲痛 |
| 2450 | gymnasium | n. | 体育馆， 健身房 |
| 2451 | brim | n. | 边，边缘；帽沿 |
| 2452 | construct | vt. | 建造； 构思 n. 建筑物； 构想， 观念 |
| 2453 | ant | n. | 蚂蚁 |
| 2454 | lovely | adj. | 可爱的；令人愉快的 |
| 2455 | shelter | n. | 掩蔽处，躲避处；住所；掩蔽，保护 vt. 掩蔽， 庇护； 躲避 |
| 2456 | uniform | adj. | 一样的 n. 制服 |
| 2457 | promise | n. | 诺言 v. 允诺 |
| 2458 | handkerchief | n. | 手帕 |
| 2459 | international | adj. | 国际的，世界（性）的 |
| 2460 | country | n. | 国家，国土；农村 |
| 2461 | bend | v. | 使弯曲；弯曲 |
| 2462 | learned | adj. | 有学问的； 学术上的 |
| 2463 | prescribe | vt. | 开； 吩咐采用； 规定， 指定 |
| 2464 | lock | n. | 锁 v. 锁上，锁住 |
| 2465 | relativity | n. | 相对论； 相关性 |
| 2466 | moon | n. | 月球，月亮；卫星 |
| 2467 | internal | adj. | 内的； 国内的； 内心的 |
| 2468 | tale | n. | 故事；传说 |
| 2469 | accent | n. | 口音， 腔调； 重音 |
| 2470 | say | v. | 比如说[用于举例] |
| 2471 | brandy | n. | 白兰地酒 |
| 2472 | meaning | n. | 意义， 意思； 目的； 重要性 |
| 2473 | bomb | n. | 炸弹 v. 轰炸 |
| 2474 | fry | vt. | 油煎， 油炸， 油炒 |
| 2475 | maintenance | n. | 维持； 保养； 抚养费 |
| 2476 | hill | n. | 小山，山岗；丘陵 |
| 2477 | tense | adj. | 拉紧的；紧张的 v. 拉紧， 绷紧 n. 时态 |
| 2478 | fare | vi. | 进展 n. 车费，船费，票价 |
| 2479 | tend | vi. | 照管， 照料， 护理 vt. 易于，往往会；趋向，倾向 |
| 2480 | brand | n. | 品牌；烙印 vt. 铭刻， 打烙印于； 加污名于， 谴责 |
| 2481 | correction | n. | 改正，纠正，修改 |
| 2482 | cease | v. | 停止，停息 n. 停止，停息 |
| 2483 | shed | vt. | 脱落，脱去；流出，流下；发出，散发 n. 棚， 小屋， 货棚 |
| 2484 | America | n. | 美洲；美国 |
| 2485 | directly | adv. | 直接地； 正好地， 截然； 立即 |
| 2486 | camera | n. | 照相机，摄影机 |
| 2487 | analysis | n. | 分析， 分析报告； 分解； 解析 |
| 2488 | intentional | adj. | 故意的，有意识的 |
| 2489 | jazz | n. | 爵士音乐， 爵士舞曲 |
| 2490 | unity | n. | 单一， 统一， 团结； 和睦， 协调 |
| 2491 | trial | n. | 试， 试验； 审判； 讨厌的人 |
| 2492 | beggar | n. | 乞丐 vt. 使贫穷 |
| 2493 | amongst | prep. | 在…之中（among） |
| 2494 | colony | n. | 殖民地； 侨居地， 聚居地； 群体， 集群 |
| 2495 | north | n. | 北，北方 adj. 北方的 |
| 2496 | funny | adj. | 滑稽的；古怪的 |
| 2497 | camp | n. | 野营，营地，兵营 |
| 2498 | circuit | n. | 电路， 线路； 环行， 巡行 |
| 2499 | button | n. | 扣子；按钮 v. 扣紧 |
| 2500 | classical | adj. | 古典的， 经典的 |
| 2501 | reservoir | n. | 水库， 蓄水池； 储藏， 汇集 |
| 2502 | vision | n. | 想象力； 梦幻； 视力， 视觉 |
| 2503 | Friday | n. | 星期五 |
| 2504 | headline | n. | 大字标题； 新闻提要 |
| 2505 | product | n. | 产品；产物；（乘）积 |
| 2506 | ridge | n. | 脊， 山脊； 垄， 埂， 脊状突起 |
| 2507 | bucket | n. | 水桶， 吊桶； 铲斗 |
| 2508 | need | v. | 需要 |
| 2509 | exceed | vt. | 超过， 胜过， 超出 |
| 2510 | official | adj. | 官员的；官方的，正式的 n. 官员， 行政人员， 高级人员 |
| 2511 | obvious | adj. | 明显的，显而易见的 |
| 2512 | leave | v. | 离去 |
| 2513 | wrist | n. | 腕， 腕关节 |
| 2514 | hence | adv. | 因此，所以；今后；今后 |
| 2515 | journalist | n. | 新闻工作者， 新闻记者 |
| 2516 | profit | vi. | 受益 n. 益处；利润，收益 vt. 有益于，有利于 |
| 2517 | marine | adj. | 海的， 海生的； 海事的， 海军的， 海运的 n. 海军陆战队士兵 |
| 2518 | cable | n. | 缆， 索， 电缆； 电报 |
| 2519 | key | n. | 钥匙；键；答案 |
| 2520 | rear | adj. | 后部的，背后的 n. 后部，背面；后方 vt. 抚养， 饲养； 种植 |
| 2521 | birth | n. | 分娩，出生；出身 |
| 2522 | much | adv. | 非常，很 det. 许多的 |
| 2523 | pardon | n. | 原谅；赦免 v. 原谅 |
| 2524 | phrase | n. | 短语；习惯用语 |
| 2525 | pan | n. | 平底锅；烤盘 |
| 2526 | jewel | n. | 宝石； 宝石饰物 |
| 2527 | sword | n. | 剑， 刀 |
| 2528 | wander | vi. | 漫游， 闲逛， 漫步； 偏离正道； 走神， 恍惚 |
| 2529 | weakness | n. | 弱点；虚弱；软弱 |
| 2530 | Japan | n. | 日本，日本国 |
| 2531 | picture | n. | 画，图片 v. 画 |
| 2532 | cabin | n. | 小屋； 船舱， 机舱 |
| 2533 | minute | n. | 分，分钟；一会儿 |
| 2534 | semiconductor | n. | 半导体 |
| 2535 | minus | adj. | 负面的；使显得有缺陷的 prep. 减（去） |
| 2536 | silly | adj. | 傻的，愚蠢的 |
| 2537 | hungry | adj. | 饥饿的；渴望的 |
| 2538 | odd | adj. | 奇特的； 临时的； 奇数的； 单只的； 剩余的， 挂零的 |
| 2539 | traffic | n. | 交通，通行；交通量 |
| 2540 | unconscious | adj. | 不省人事的 |
| 2541 | reading | n. | 读书；读，阅读 |
| 2542 | carbon | n. | 碳 |
| 2543 | senate | n. | 参议院， 上院 |
| 2544 | physician | n. | 医生，内科医生 |
| 2545 | proportional | adj. | 比例的， 成比例的 |
| 2546 | pace | vi. | 踱步 n. 步，步速；速度；节奏 |
| 2547 | harness | v. | 控制[利用]〔自然力等〕 n. 马具，挽具 |
| 2548 | license | n. | 许可，执照 vt. 准许 |
| 2549 | little | adj. | 小的；少；幼小的 |
| 2550 | Africa | n. | 非洲 |
| 2551 | organism | n. | 生物， 有机体； 机体， 有机组织 |
| 2552 | county | n. | 英国的郡，美国的县 |
| 2553 | globe | n. | 地球， 世界； 地球仪； 球体 |
| 2554 | food | n. | 食物，食品；养料，精神食粮 |
| 2555 | machine | n. | 机器；机械 |
| 2556 | bore | vt. | 使厌烦；钻，挖 n. 令人讨厌的人 |
| 2557 | reform | n&v. | 改革， 改良， 改造； 改正， 改过自新 |
| 2558 | radius | n. | 半径 |
| 2559 | fist | n. | 拳（头） |
| 2560 | nuisance | n. | 讨厌的人（东西） |
| 2561 | distinction | n. | 差别， 不同， 区分 |
| 2562 | mosquito | n. | 蚊子 |
| 2563 | typewriter | n. | 打字机 |
| 2564 | accordance | n. | 一致； 和谐 |
| 2565 | plus | adj. | 表示加的；正的 prep. 加，加上 n. 加号， 正号 |
| 2566 | policeman | n. | 警察 |
| 2567 | Christmas | n. | 圣诞节 |
| 2568 | interest | n. | 兴趣；利益，利害关系；利息 vt. 使感兴趣 |
| 2569 | greenhouse | n. | 温室，玻璃暖房 |
| 2570 | farewell | int. | 再会 n. 告别 |
| 2571 | him | pron. | （宾格）他 |
| 2572 | shelf | n. | 搁板，架子 |
| 2573 | later | adv. | 后来；过一会儿 |
| 2574 | fashion | n. | 样子， 方式； 时尚； 流行款式 |
| 2575 | daily | adj. | 每日的 n. 日报 |
| 2576 | outside | adj. | 外部的 prep. 在…的外面； 向…的外面； 除…以外 n. 外部，外表 |
| 2577 | principal | adj. | 最重要的，主要的 n. 负责人， 校长； 资本， 本金； 主要演员， 主角 |
| 2578 | mine | pron. | 我的 |
| 2579 | farmer | n. | 农民，农夫；农场主 |
| 2580 | Asia | n. | 亚洲 |
| 2581 | playground | n. | 操场，运动场 |
| 2582 | guidance | n. | 引导， 指导， 领导 |
| 2583 | evaporate | v. | 使蒸发 |
| 2584 | upright | adv. | 挺直着， 竖立着 adj. 垂直的；正直的，诚实的 |
| 2585 | honour | n. | 光荣；尊敬，敬意 |
| 2586 | stocking | n. | 长（筒）袜 |
| 2587 | nice | adj. | 美好的，令人愉快的 |
| 2588 | faculty | n. | 才能， 能力； 系， 科； 全体教员 |
| 2589 | auto | n. | （口语）汽车 |
| 2590 | phone | n. | 电话，电话机 |
| 2591 | undo | vt. | 解开， 打开； 取消， 撤销 |
| 2592 | liver | n. | 肝；肝脏 |
| 2593 | cat | n. | 猫，；猫科动物 |
| 2594 | capacity | n. | 容量； 能力， 才能； 能量； 身份， 地位 |
| 2595 | offer | v. | 提供；提出 n. 提供 |
| 2596 | conference | n. | 会议， 讨论会； 讨论， 商谈 |
| 2597 | body | n. | 身体；尸体；主体 |
| 2598 | holiday | n. | 假期；假日，节日 |
| 2599 | glass | n. | 玻璃；玻璃杯 |
| 2600 | royal | adj. | 王室的， 皇家的 |
| 2601 | wave | n. | 波；波涛 v. 波动，挥动，摆动 |
| 2602 | different | adj. | 差异的；各种的 |
| 2603 | cut | v. | 切，割，剪；减少 |
| 2604 | dawn | n. | 黎明；开端 v. 破晓 |
| 2605 | oar | n. | 浆，橹 |
| 2606 | kneel | vi. | 跪， 跪下， 跪着 |
| 2607 | ordinary | adj. | 平常的；平凡的 |
| 2608 | postage | n. | 邮费， 邮资 |
| 2609 | cheer | v. | 使振作；欢呼 |
| 2610 | pass | v. | 经过；通过；度过 |
| 2611 | level | n. | 水平面 adj. 水平的 |
| 2612 | anywhere | adv. | 在什么地方 |
| 2613 | affect | vt. | 影响； 感动 |
| 2614 | deer | n. | 鹿 |
| 2615 | every | det. | 每一的；每隔…的 |
| 2616 | bar | n. | 酒吧间；条，杆；栅 |
| 2617 | plenty | pron. | 丰富，充足，大量 |
| 2618 | baggage | n. | 行李 |
| 2619 | pint | n. | 品脱 |
| 2620 | fly | n. | 蝇，苍蝇 v. 飞行 |
| 2621 | friend | n. | 朋友，友人 |
| 2622 | any | adj. | 什么，一些；任何的 |
| 2623 | nurse | n. | 护士；保姆 v. 看护 |
| 2624 | toilet | n. | 厕所，盥洗室，浴室 |
| 2625 | creep | vi. | 爬行， 缓慢地行进 |
| 2626 | goods | n. | 货物；商品 |
| 2627 | career | n. | 生涯， 职业， 经历 |
| 2628 | museum | n. | 博物馆；展览馆 |
| 2629 | coast | n. | 海岸，海滨（地区） |
| 2630 | diamond | n. | 金钢石，钻石；菱形 |
| 2631 | increasingly | adv. | 日益， 越来越多地 |
| 2632 | spill | v. | 溢出，洒落 n. 溢出 |
| 2633 | comprehension | n. | 理解， 理解力， 领悟； 理解力测验 |
| 2634 | chest | n. | 胸腔， 胸膛； 箱子 |
| 2635 | otherwise | adv. | 否则；要不然 |
| 2636 | movement | n. | 动作，活动；移动 |
| 2637 | bowl | n. | 碗，钵；碗状物 |
| 2638 | bat | n. | 蝙蝠； 球棒， 球拍 |
| 2639 | somewhat | adv. | 有点儿 pron. 一点儿 |
| 2640 | ancestor | n. | 祖宗， 祖先； 原型； 先驱 |
| 2641 | liberal | adj. | 心胸宽大的， 慷慨的； 自由的， 自由主义的 |
| 2642 | far | adj. | 远的 adv. 远，遥远 |
| 2643 | tropical | adj. | 热带的； 炎热的 |
| 2644 | molecule | n. | 分子，克分子 |
| 2645 | general | adj. | 总的；一般的 n. 将军 |
| 2646 | gentle | adj. | 和蔼的；轻柔的 |
| 2647 | motion | v. | 打手势， 示意 n. 运动；手势，眼色，动作；提议 |
| 2648 | however | adv. | 然而；不管怎样 |
| 2649 | float | v. | 浮动， 漂浮； 飘动 |
| 2650 | adjust | vt. | 调整， 调节， 校正 |
| 2651 | drama | n. | 戏剧， 剧本； 戏剧性事件 |
| 2652 | circular | adj. | 圆的；循环的；兜圈子的 n. 通知， 通告 |
| 2653 | above | prep. | 在…上面；高于 |
| 2654 | enthusiastic | adj. | 热情的，热心的 |
| 2655 | landlord | n. | 地主， 房东； 店主 |
| 2656 | volcano | n. | 火山 |
| 2657 | hard | adj. | 硬的；困难的 |
| 2658 | microphone | n. | 扩音器， 话筒， 麦克风 |
| 2659 | proud | adj. | 骄傲的；自负的〔含贬义〕；自豪的 |
| 2660 | gently | adv. | 有礼貌地；柔和地 |
| 2661 | curl | n. | 卷毛；螺旋 v. 卷曲 |
| 2662 | flavour | n. | 味，味道；风味 |
| 2663 | loud | adj. | 响亮的；吵闹的 |
| 2664 | manner | n. | 方式； 态度； 风度； 礼貌， 规矩 |
| 2665 | tender | adj. | 嫩的；脆弱的；疼痛的，一触即痛的；温柔的 vt. 提出 n. 投标 |
| 2666 | dry | adj. | 干的，干燥的 |
| 2667 | mute | adj. | 缄默的 n. 哑巴 |
| 2668 | dorm | n. | 宿舍 |
| 2669 | discard | vt. | 丢弃， 抛弃， 遗弃 |
| 2670 | change | n. | 改变，变化；零钱 |
| 2671 | outstanding | adj. | 突出的， 杰出的； 未解决的； 未偿付的 |
| 2672 | wear | v. | 磨损 |
| 2673 | relate | vi. | 有关， 涉及； 符合； 相处 vt. 使有关联；讲述，叙述 |
| 2674 | radioactive | adj. | 放射性的 |
| 2675 | geography | n. | 地理，地理学 |
| 2676 | his | pron. | 他的，他的东西 |
| 2677 | probable | adj. | 很可能的， 大概的 |
| 2678 | aware | adj. | 知道的， 意识到的 |
| 2679 | central | adj. | 中心的；主要的 |
| 2680 | ownership | n. | 所有（权），所有制 |
| 2681 | nine | num. | 九，九个 |
| 2682 | voyage | n. | 航海，航空 v. 航海，航行 |
| 2683 | expensive | adj. | 昂贵的，花钱多的 |
| 2684 | provide | v. | 提供；装备，供给 |
| 2685 | before | prep. | 在…以前 |
| 2686 | empty | adj. | 空的；空洞的 |
| 2687 | heat | n. | 热；炎热 v. 变热 |
| 2688 | Canadian | adj. | 加拿大的 |
| 2689 | beam | n. | 梁，横梁；束，柱；笑容，喜色 vt. 面露喜色； 定向发出， 播送 |
| 2690 | last | adj. | 最后的 adv. 最后 |
| 2691 | cause | n. | 原因；理由；事业 |
| 2692 | exclaim | vi. | 呼喊， 惊叫 |
| 2693 | breed | v. | 繁殖； 养育， 培育； 酿成， 产生 n. 品种 |
| 2694 | keeper | n. | 饲养员；看护人 |
| 2695 | mouth | n. | 嘴，口，口腔 |
| 2696 | camel | n. | 骆驼 |
| 2697 | hell | n. | 地狱； 极大的痛苦 |
| 2698 | fourth | pron. | 第四 n. 四分之一 |
| 2699 | March | n. | 三月 |
| 2700 | entrance | n. | 入口，门口；进入 |
| 2701 | consider | v. | 考虑；认为；关心 |
| 2702 | compress | vt. | 压紧， 压缩 |
| 2703 | brow | n. | 额， 眉， 眉毛 |
| 2704 | sound | adj. | 健康的；完好的 |
| 2705 | recall | v. | 回忆； 召回， 叫回； 收回， 撤销 |
| 2706 | scarcely | adv. | 几乎不， 简直不； 决不； 刚刚， 才 |
| 2707 | mayor | n. | 市长 |
| 2708 | most | det,pron. | 最多的 adv. 最，很 |
| 2709 | connection | n. | 联系， 关系； 连接， 衔接； 连贯性； 熟人， 关系 |
| 2710 | nature | n. | 大自然； 本性； 性质 |
| 2711 | alone | adj. | 单独的 adv. 单独地 |
| 2712 | marvellous | adj. | 奇迹般的；了不起的 |
| 2713 | hold | v. | 拿住；掌握；拥有 |
| 2714 | like | v. | 喜欢；喜爱；希望 |
| 2715 | treat | v. | 对待；处理 n. 款待 |
| 2716 | beg | v. | 乞求；请求 |
| 2717 | footstep | n. | 脚步， 脚步声， 足迹 |
| 2718 | himself | pron. | 他自己；他亲自 |
| 2719 | cure | v. | 医治；消除 n. 治愈 |
| 2720 | bough | n. | 树枝 |
| 2721 | bee | n. | 蜂，密蜂；忙碌的人 |
| 2722 | treaty | n. | 条约， 协议， 协定 |
| 2723 | bird | n. | 鸟，禽 |
| 2724 | butterfly | n. | 蝴蝶 |
| 2725 | insert | vt. | 插入， 嵌入； 登载 |
| 2726 | phase | n. | 阶段； 方面； 相， 相位 |
| 2727 | necessarily | adv. | 必要地； 必然 |
| 2728 | cloth | n. | 布；衣料；桌布 |
| 2729 | door | n. | 门；通道；一家 |
| 2730 | description | n. | 描写，形容；种类 |
| 2731 | marry | v. | 娶， 嫁； 为…证婚； 结婚， 结合 |
| 2732 | beat | v. | 打，敲；打败 |
| 2733 | community | n. | 社区， 社会， 公社； 团体， 界； 群落 |
| 2734 | swing | v. | 摇摆，回转；突然转向 n. 摇摆； 秋千 |
| 2735 | branch | n. | 树枝；分部；分科 |
| 2736 | uneasy | adj. | 心神不安的， 忧虑的 |
| 2737 | solemn | adj. | 严肃的，庄重的；庄严的；隆重的 |
| 2738 | sew | v. | 缝制， 缝纫 |
| 2739 | astronaut | n. | 宇宙航行员，宇航员 |
| 2740 | memorial | adj. | 纪念的，悼念的 n. 纪念碑， 纪念堂， 纪念仪式 |
| 2741 | dispose | vt. | 处理， 解决； 使倾向于 |
| 2742 | brighten | v. | 使发光；使快活 |
| 2743 | addition | n. | 加， 加法； 附加物 |
| 2744 | sulfur | n. | 硫（磺），硫黄 |
| 2745 | beginner | n. | 初学者，生手 |
| 2746 | impress | vi. | 给人印象，引人注目 vt. 给…深刻印象；印，压印 n. 印记； 特征 |
| 2747 | print | v. | 印刷 n. 印刷的文字 |
| 2748 | fit | v. | 适合；安装 |
| 2749 | lay | v. | 置放；铺设；设置 |
| 2750 | pollute | vt. | 弄脏， 污染； 腐蚀 |
| 2751 | experimental | adj. | 实验的， 试验的 |
| 2752 | attach | vt. | 缚， 系， 贴； 附加； 使依恋， 使喜爱； 使附属； 认为有 |
| 2753 | focus | v. | 聚焦；集中 n. 焦点； 中心 |
| 2754 | hunt | n. | 打猎；搜寻 v. 追猎 |
| 2755 | cruel | adj. | 残忍的，残酷的 |
| 2756 | desk | n. | 书桌，办公桌 |
| 2757 | cost | n. | 价格；代价；成本 |
| 2758 | slam | v. | 砰地关上；猛力拉，砰地放下；猛烈抨击 n. 砰的一声 |
| 2759 | decay | vi. | 腐烂；衰败 n. 腐烂 |
| 2760 | opera | n. | 歌剧 |
| 2761 | towel | n. | 毛巾， 手巾 |
| 2762 | crowd | v. | 聚集； 挤满； 挤； 推 n. 群，一批 |
| 2763 | decade | n. | 十年， 十年期 |
| 2764 | introduction | n. | 介绍， 引进； 引言 |
| 2765 | car | n. | 汽车，小汽车，轿车 |
| 2766 | prime | adj. | 首要的；最好的 n. 青春；全盛时期 vt. 使准备好 |
| 2767 | ache | vi. | 疼痛；渴望 n. 疼痛 |
| 2768 | grand | adj. | 宏伟的； 重大的； 傲慢的； 派头大的； 绝佳的； 全部的 |
| 2769 | earn | v. | 赚得，挣得；获得 |
| 2770 | goodness | int. | 天哪 n. 善良， 美德， 好意 |
| 2771 | gunpowder | n. | 黑色火药；有烟火药 |
| 2772 | spray | v. | 喷， 溅散 n. 浪花，水花；喷雾 |
| 2773 | guide | n. | 导游者 v. 给某人领路，带领 |
| 2774 | pile | n. | 堆 v. 堆叠，累积 |
| 2775 | row | n. | （一）排，（一）行 |
| 2776 | trick | n. | 诡计；窍门 v. 哄骗 |
| 2777 | February | n. | 二月 |
| 2778 | cell | n. | 细胞；小房间 |
| 2779 | completely | adv. | 十分，完全地 |
